Rank,Score,Name,ID,Link,Type,Episodes,Start Date,End Date,Status,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Popularity,Members,Favorites,Aired start,Aired end
1,9.29,Sousou no Frieren,52991,https://myanimelist.net/anime/52991/Sousou_no_Frieren,TV,28,Sep 2023,Mar 2024,Finished Airing,Fall 2023,Fridays at 23:00 (JST),,,,,"['Adventure', 'Drama', 'Fantasy']",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#129,"1,223,528","76,395","Sep 29, 2023","Mar 22, 2024"
2,9.10,Fullmetal Alchemist: Brotherhood,5114,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,TV,64,Apr 2009,Jul 2010,Finished Airing,Spring 2009,Sundays at 17:00 (JST),,,,,"['Action', 'Adventure', 'Drama', 'Fantasy']",N/A,24 min. per ep.,R - 17+ (violence &amp; profanity),#3,"3,576,356","236,756","Apr 5, 2009","Jul 4, 2010"
3,9.07,Steins;Gate,9253,https://myanimelist.net/anime/9253/Steins_Gate,TV,24,Apr 2011,Sep 2011,Finished Airing,Spring 2011,Wednesdays at 02:05 (JST),,,,Visual novel,"['Drama', 'Sci-Fi', 'Suspense']",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#14,"2,737,198","198,247","Apr 6, 2011","Sep 14, 2011"
4,9.05,Shingeki no Kyojin Season 3 Part 2,38524,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,TV,10,Apr 2019,Jul 2019,Finished Airing,Spring 2019,Mondays at 00:10 (JST),,,,,"['Action', 'Drama', 'Suspense']",N/A,23 min. per ep.,R - 17+ (violence &amp; profanity),#21,"2,496,631","61,821","Apr 29, 2019","Jul 1, 2019"
5,9.05,Gintama: The Final,39486,https://myanimelist.net/anime/39486/Gintama__The_Final,Movie,1,Jan 2021,Jan 2021,Finished Airing,N/A,N/A,,,,,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",N/A,1 hr. 44 min.,PG-13 - Teens 13 or older,#1519,"174,648","4,542",N/A,N/A
6,9.05,Gintama°,28977,https://myanimelist.net/anime/28977/Gintama°,TV,51,Apr 2015,Mar 2016,Finished Airing,Spring 2015,Wednesdays at 18:00 (JST),,,,,"['Action', 'Comedy', 'Sci-Fi']",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#344,"676,134","17,313","Apr 8, 2015","Mar 30, 2016"
7,9.03,Hunter x Hunter (2011),11061,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,TV,148,Oct 2011,Sep 2014,Finished Airing,Fall 2011,Sundays at 10:55 (JST),,,,,"['Action', 'Adventure', 'Fantasy']",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#8,"3,081,045","223,930","Oct 2, 2011","Sep 24, 2014"
8,9.03,One Piece Fan Letter,60022,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,Special,1,Oct 2024,Oct 2024,Finished Airing,N/A,N/A,"None found,","None found,",,,"['Action', 'Adventure', 'Fantasy']",N/A,24 min.,PG-13 - Teens 13 or older,#1944,"127,753","2,352",N/A,N/A
9,9.02,Ginga Eiyuu Densetsu,820,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,OVA,110,Jan 1988,Mar 1997,Finished Airing,N/A,N/A,,,,Novel,"['Drama', 'Sci-Fi']",N/A,26 min. per ep.,R - 17+ (violence &amp; profanity),#752,"350,651","17,305","Jan 8, 1988","Mar 17, 1997"
10,9.02,Gintama&#039;,9969,https://myanimelist.net/anime/9969/Gintama,TV,51,Apr 2011,Mar 2012,Finished Airing,Spring 2011,Mondays at 18:00 (JST),,"None found,",,,"['Action', 'Comedy', 'Sci-Fi']",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#405,"598,182","8,479","Apr 4, 2011","Mar 26, 2012"
11,9.02,Gintama&#039;: Enchousen,15417,https://myanimelist.net/anime/15417/Gintama__Enchousen,TV,13,Oct 2012,Mar 2013,Finished Airing,Fall 2012,Thursdays at 18:00 (JST),,"None found,",,,"['Action', 'Comedy', 'Sci-Fi']",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#753,"349,961","3,139","Oct 4, 2012","Mar 28, 2013"
12,8.99,Bleach: Sennen Kessen-hen,41467,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,TV,13,Oct 2022,Dec 2022,Finished Airing,Fall 2022,Tuesdays at 00:00 (JST),,,,,"['Action', 'Adventure', 'Supernatural']",N/A,24 min. per ep.,R - 17+ (violence &amp; profanity),#359,"660,380","22,598","Oct 11, 2022","Dec 27, 2022"
13,8.98,Gintama.,34096,https://myanimelist.net/anime/34096/Gintama,TV,12,Jan 2017,Mar 2017,Finished Airing,Winter 2017,Mondays at 01:35 (JST),,"None found,",,,"['Action', 'Comedy', 'Sci-Fi']",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#785,"339,944","2,795","Jan 9, 2017","Mar 27, 2017"
14,8.97,Kaguya-sama wa Kokurasetai: Ultra Romantic,43608,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,TV,13,Apr 2022,Jun 2022,Finished Airing,Spring 2022,Saturdays at 00:00 (JST),,,,,"['Comedy', 'Romance']",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#166,"1,058,684","32,671","Apr 9, 2022","Jun 25, 2022"
15,8.94,Fruits Basket: The Final,42938,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,TV,13,Apr 2021,Jun 2021,Finished Airing,Spring 2021,Tuesdays at 01:30 (JST),,,,,"['Drama', 'Romance', 'Supernatural']",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#451,"541,219","21,117","Apr 6, 2021","Jun 29, 2021"
16,8.93,Clannad: After Story,4181,https://myanimelist.net/anime/4181/Clannad__After_Story,TV,24,Oct 2008,Mar 2009,Finished Airing,Fall 2008,Fridays at 01:59 (JST),,,,Visual novel,"['Drama', 'Romance']",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#121,"1,258,613","72,648","Oct 3, 2008","Mar 27, 2009"
17,8.93,Gintama,918,https://myanimelist.net/anime/918/Gintama,TV,201,Apr 2006,Mar 2010,Finished Airing,Spring 2006,Thursdays at 18:00 (JST),,,,,"['Action', 'Comedy', 'Sci-Fi']",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#146,"1,129,214","60,980","Apr 4, 2006","Mar 25, 2010"
18,8.93,Koe no Katachi,28851,https://myanimelist.net/anime/28851/Koe_no_Katachi,Movie,1,Sep 2016,Sep 2016,Finished Airing,N/A,N/A,,,,,"['Award Winning', 'Drama']",N/A,2 hr. 10 min.,PG-13 - Teens 13 or older,#19,"2,525,761","93,662",N/A,N/A
19,8.91,Kusuriya no Hitorigoto 2nd Season,58514,https://myanimelist.net/anime/58514/Kusuriya_no_Hitorigoto_2nd_Season,TV,24,Jan 2025,Jul 2025,Finished Airing,Winter 2025,Fridays at 23:00 (JST),,"None found,",,,"['Drama', 'Mystery']",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#652,"400,416","5,900","Jan 10, 2025","Jul 4, 2025"
