Rank,Score,Name,ID,Link,Type,Episodes,Start Date,End Date,Status,Premiered,Broadcast,Studios,Source,Genres,Demographics,Duration,Rating,Popularity,Members,Favorites,Aired start,Aired end
1,9.29,Sousou no Frieren,52991,https://myanimelist.net/anime/52991/Sousou_no_Frieren,TV,28,Sep 2023,Mar 2024,Finished Airing,Fall 2023,Fridays at 23:00 (JST),Madhouse,Manga,"Adventure, Drama, Fantasy",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#127,"1,237,988","77,394","Sep 29, 2023","Mar 22, 2024"
2,9.10,Fullmetal Alchemist: Brotherhood,5114,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,TV,64,Apr 2009,Jul 2010,Finished Airing,Spring 2009,Sundays at 17:00 (JST),Bones,Manga,"Action, Adventure, Drama, Fantasy",Shounen,24 min. per ep.,R - 17+ (violence &amp; profanity),#3,"3,584,770","237,270","Apr 5, 2009","Jul 4, 2010"
3,9.07,Steins;Gate,9253,https://myanimelist.net/anime/9253/Steins_Gate,TV,24,Apr 2011,Sep 2011,Finished Airing,Spring 2011,Wednesdays at 02:05 (JST),White Fox,Visual novel,"Drama, Sci-Fi, Suspense",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#14,"2,742,927","198,569","Apr 6, 2011","Sep 14, 2011"
4,9.05,Shingeki no Kyojin Season 3 Part 2,38524,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,TV,10,Apr 2019,Jul 2019,Finished Airing,Spring 2019,Mondays at 00:10 (JST),Wit Studio,Manga,"Action, Drama, Suspense",Shounen,23 min. per ep.,R - 17+ (violence &amp; profanity),#21,"2,504,465","61,931","Apr 29, 2019","Jul 1, 2019"
5,9.05,Gintama: The Final,39486,https://myanimelist.net/anime/39486/Gintama__The_Final,Movie,1,Jan 2021,Jan 2021,Finished Airing,N/A,N/A,Bandai Namco Pictures,Manga,"Action, Comedy, Drama, Sci-Fi",Shounen,1 hr. 44 min.,PG-13 - Teens 13 or older,#1512,"175,515","4,563",N/A,N/A
6,9.05,Gintama°,28977,https://myanimelist.net/anime/28977/Gintama°,TV,51,Apr 2015,Mar 2016,Finished Airing,Spring 2015,Wednesdays at 18:00 (JST),Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#346,"677,460","17,318","Apr 8, 2015","Mar 30, 2016"
7,9.03,Chainsaw Man Movie: Reze-hen,57555,https://myanimelist.net/anime/57555/Chainsaw_Man_Movie__Reze-hen,Movie,1,Sep 2025,Sep 2025,Finished Airing,N/A,N/A,MAPPA,Manga,"Action, Fantasy",Shounen,1 hr. 41 min.,R - 17+ (violence &amp; profanity),#1559,"171,065","1,500",N/A,N/A
8,9.03,Hunter x Hunter (2011),11061,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,TV,148,Oct 2011,Sep 2014,Finished Airing,Fall 2011,Sundays at 10:55 (JST),Madhouse,Manga,"Action, Adventure, Fantasy",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#8,"3,089,727","224,465","Oct 2, 2011","Sep 24, 2014"
9,9.03,One Piece Fan Letter,60022,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,Special,1,Oct 2024,Oct 2024,Finished Airing,N/A,N/A,Toei Animation,Light novel,"Action, Adventure, Fantasy",Shounen,24 min.,PG-13 - Teens 13 or older,#1926,"130,123","2,376",N/A,N/A
10,9.02,Ginga Eiyuu Densetsu,820,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,OVA,110,Jan 1988,Mar 1997,Finished Airing,N/A,N/A,"K-Factory, Kitty Film Mitaka Studio",Novel,"Drama, Sci-Fi",N/A,26 min. per ep.,R - 17+ (violence &amp; profanity),#752,"351,628","17,365","Jan 8, 1988","Mar 17, 1997"
